"column_name","data_type","character_maximum_length","is_nullable","column_default"
"id","uuid",NULL,"NO","gen_random_uuid()"
"email","character varying",255,"NO",NULL
"name","character varying",255,"YES",NULL
"phone","character varying",20,"YES",NULL
"version","bigint",NULL,"NO","1"
"created_at","timestamp with time zone",NULL,"YES","now()"
"updated_at","timestamp with time zone",NULL,"YES","now()"
"deleted_at","timestamp with time zone",NULL,"YES",NULL
"ipos_token_encrypted","text",NULL,"YES",NULL
"card_last_4","character varying",4,"YES",NULL
"card_type","character varying",20,"YES",NULL
"card_exp_month","integer",NULL,"YES",NULL
"card_exp_year","integer",NULL,"YES",NULL
"card_fingerprint","character varying",64,"YES",NULL
"card_brand","character varying",20,"YES",NULL
"billing_address","jsonb",NULL,"YES",NULL
"first_name","character varying",100,"YES",NULL
"last_name","character varying",100,"YES",NULL
"phone_country_code","character varying",10,"YES",NULL
"phone_type","character varying",20,"YES","'mobile'::character varying"
"customer_code","character varying",50,"YES",NULL
"title","character varying",20,"YES",NULL
"company","character varying",255,"YES",NULL
"job_title","character varying",100,"YES",NULL
"address","text",NULL,"YES",NULL
"address2","text",NULL,"YES",NULL
"city","character varying",100,"YES",NULL
"state_code","character varying",50,"YES",NULL
"province","character varying",100,"YES",NULL
"zip_code","character varying",20,"YES",NULL
"country_code","character varying",2,"YES","'US'::character varying"
"locale","character varying",10,"YES",NULL
"timezone","character varying",50,"YES",NULL
"preferred_language","character varying",10,"YES","'en'::character varying"
"email_marketing_status","character varying",20,"YES","'pending'::character varying"
"sms_marketing_status","character varying",20,"YES","'pending'::character varying"
"contact_preference","character varying",20,"YES","'email'::character varying"
"marketing_opt_in_source","character varying",50,"YES",NULL
"marketing_opt_in_date","timestamp with time zone",NULL,"YES",NULL
"lifetime_value_cents","integer",NULL,"YES","0"
"average_order_value_cents","integer",NULL,"YES","0"
"total_spend_cents","integer",NULL,"YES","0"
"total_spend_last_year_cents","integer",NULL,"YES","0"
"currency_code","character varying",3,"YES","'USD'::character varying"
"order_count","integer",NULL,"YES","0"
"last_order_date","timestamp with time zone",NULL,"YES",NULL
"first_order_date","timestamp with time zone",NULL,"YES",NULL
"last_activity_date","timestamp with time zone",NULL,"YES",NULL
"acquisition_channel","character varying",50,"YES",NULL
"customer_status","character varying",20,"YES","'active'::character varying"
"club_member_status","character varying",20,"YES","'none'::character varying"
"club_tier","character varying",50,"YES",NULL
"club_join_date","date",NULL,"YES",NULL
"allocation_list_status","character varying",20,"YES","'none'::character varying"
"allocation_tier","character varying",50,"YES",NULL
"dietary_notes","text",NULL,"YES",NULL
"food_preferences","text",NULL,"YES",NULL
"allergy_notes","text",NULL,"YES",NULL
"dislikes","text",NULL,"YES",NULL
"visit_preferences","text",NULL,"YES",NULL
"special_days","jsonb",NULL,"YES",NULL
"spouse_name","character varying",100,"YES",NULL
"spouse_customer_id","uuid",NULL,"YES",NULL
"loyalty_tier","character varying",50,"YES",NULL
"loyalty_points_balance","integer",NULL,"YES","0"
"account_balance_cents","integer",NULL,"YES","0"
"store_credit_cents","integer",NULL,"YES","0"
"tax_exempt_status","boolean",NULL,"YES","false"
"tax_id","character varying",50,"YES",NULL
"vat_number","character varying",50,"YES",NULL
"customer_group_id","uuid",NULL,"YES",NULL
"tags","ARRAY",NULL,"YES",NULL
"staff_notices","text",NULL,"YES",NULL
"internal_notes","text",NULL,"YES",NULL
"avatar_url","text",NULL,"YES",NULL
"visit_count","integer",NULL,"YES","0"
"last_visit_date","date",NULL,"YES",NULL
"average_spend_per_visit_cents","integer",NULL,"YES","0"
"external_system_id","character varying",100,"YES",NULL
"external_attributes","jsonb",NULL,"YES",NULL
"social_profile_id","character varying",100,"YES",NULL
"birth_date","date",NULL,"YES",NULL
"custom_attributes","jsonb",NULL,"YES",NULL
"latitude","numeric",NULL,"YES",NULL
"longitude","numeric",NULL,"YES",NULL
"geocoded_at","timestamp with time zone",NULL,"YES",NULL
"geocode_quality","character varying",50,"YES",NULL
"formatted_address","text",NULL,"YES",NULL
